birth_year,profile,photo,name,id,birth_day,birth_month,country_id
1989,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3019710-thomas-biesemeyer.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3019710.jpg,thomas biesemeyer,3019710,30,01,USA
1990,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3020604-wiley-maple.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3020604.jpg,wiley maple,3020604,25,05,USA
1998,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3019661-michel-macedo.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3019661.jpg,michel macedo,3019661,23,09,BRA
1997,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3028238-james-crawford.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3028238.jpg,james crawford,3028238,03,05,CAN
1993,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3027567-filip-zubcic.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3027567.jpg,filip zubcic,3027567,27,01,CRO
1991,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3025829-blaise-giezendanner.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3025829.jpg,blaise giezendanner,3025829,29,11,FRA
1985,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3027597-matteo-marsaglia.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3027597.jpg,matteo marsaglia,3027597,05,10,ITA
1988,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3036317-olivier-jenot.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3036317.jpg,olivier jenot,3036317,28,02,MON
1992,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3030406-adam-barwood.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3030406.jpg,adam barwood,3030406,30,07,NZL
1992,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3030409-willis-feasey.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3030409.jpg,willis feasey,3030409,28,08,NZL
1989,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3034827-thomas-tumler.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3034827.jpg,thomas tumler,3034827,05,11,SUI
1993,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3033052-andreas-zampa.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3033052.jpg,andreas zampa,3033052,13,08,SVK
1984,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3017908-ted-ligety.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3017908.jpg,ted ligety,3017908,31,08,USA
1986,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3051137-erjon-tola.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3051137.jpg,erjon tola,3051137,15,12,ALB
1991,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3031986-sebastiano-gastaldi.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3031986.jpg,sebastiano gastaldi,3031986,12,06,ARG
1993,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3011124-dominic-demschar.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3011124.jpg,dominic demschar,3011124,19,05,AUS
1996,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3011125-harry-laidlaw.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3011125.jpg,harry laidlaw,3011125,01,03,AUS
1990,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3023686-christian-hirschbuehl.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3023686.jpg,christian hirschbuehl,3023686,19,04,AUT
1992,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3023678-manuel-feller.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3023678.jpg,manuel feller,3023678,13,10,AUT
1989,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3023687-marcel-hirscher.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3023687.jpg,marcel hirscher,3023687,02,03,AUT
1991,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3023671-stefan-brennsteiner.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3023671.jpg,stefan brennsteiner,3023671,03,10,AUT
1998,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3026998-sam-maes.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3026998.jpg,sam maes,3026998,07,06,BEL
1997,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3029634-emir-lokmic.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3029634.jpg,emir lokmic,3029634,23,12,BIH
1997,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3015075-albert-popov.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3015075.jpg,albert popov,3015075,08,08,BUL
1997,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3015071-kamen-zlatkov.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3015071.jpg,kamen zlatkov,3015071,09,08,BUL
1991,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3028236-erik-read.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3028236.jpg,erik read,3028236,31,05,CAN
1991,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3028235-phil-brown.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3028235.jpg,phil brown,3028235,09,11,CAN
1992,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3028234-trevor-philp.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3028234.jpg,trevor philp,3028234,01,05,CAN
1998,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3016398-kai-horwitz.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3016398.jpg,kai horwitz,3016398,09,04,CHI
1994,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3022710-zhang-yangming.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3022710.jpg,zhang yangming,3022710,31,08,CHN
1998,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3029031-michael-poettoz.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3029031.jpg,michael poettoz,3029031,21,08,COL
1999,https://www.olympic.org/pyeongchang-2018/results/en/alpine-skiing/athlete-profile-n3027679-samuel-kolega.htm,https://www.olympic.org/pyeongchang-2018/results/resOWG2018/img/bios/photos/3027679.jpg,samuel kolega,3027679,15,01,CRO
